
		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
   4	 0x1ffff14c       0x000065a5        26021           1310
   5	 0x1ffff150       0x0000689f        26783           1348
   6	 0x1ffff154       0x00005928        22824           1149
   7	 0x1ffff158       0x00004e9b        20123           1013
   8	 0x1ffff15c       0x00005428        21544           1084
   9	 0x1ffff160       0x000061fd        25085           1263
   10	 0x1ffff164       0x000050f8        20728           1043
   11	 0x1ffff168       0x0000468c        18060           909
   12	 0x1ffff16c       0x00005064        20580           1036
   13	 0x1ffff170       0x00004950        18768           945
   14	 0x1ffff174       0x0000424f        16975           854
   15	 0x1ffff178       0x00003932        14642           737

		########################################
		#    ADC to memory transfer via DMA.   #
		########################################

Buffer 1:
========

 Index 	  Address         Value(h)        Value(d)     voltage (mV)
 -----	------------    -------------    ----------   -------------- 
   0	 0x1ffff13c       0x000036e0        14048           707
   1	 0x1ffff140       0x000043bb        17339           873
   2	 0x1ffff144       0x00005542        21826           1099
   3	 0x1ffff148       0x00005e30        24112           1214
   4	 0x1ffff14c       0x000060be        24766           1247
   5	 0x1ffff150       0x00005474        21620           1088
   6	 0x1ffff154       0x00006094        24724           1244
   7	 0x1ffff158       0x00005316        21270           1071
   8	 0x1ffff15c       0x000064ce        25806           1299
   9	 0x1ffff160       0x000069ee        27118           1365
   10	 0x1ffff164       0x00005848        22600           1138
   11	 0x1ffff168       0x00004f4a        20298           1022
   12	 0x1ffff16c       0x00004d40        19776           995
   13	 0x1ffff170       0x000057bc        22460           1130
   14	 0x1ffff174       0x0000502e        20526           1033
   15	 0x1ffff178       0x00004bcb        19403           977

Single Buffer transfer log size 16
